RecordID,Timestamp ,Temperature,Humidity,Light,CO2, humidityratio,Occupancy,hour ,DayOfWeek,DayType,Room
5725,2025-01-17 07:24:00,19.39,27.15,17.0,?,0.003775681,0,7,Friday,Weekday,A
4404,??,20.15,24.0,0.0,442.0,0.003497239,0,9,Thursday,Weekday,B
4764,2025-01-16 15:23:00,19.5,30.2,0.0,436.5,0.004231757,0,15,Thursday,Weekday,A
1819,2025-01-14 14:18:00,20.2,21.29,0.0,445.75,0.003110027,0,14,Tuesday,Weekday,A
5248,2025-01-16 23:27:00,19.2675,31.0,13.5,436.5,0.004281792,0,23,Thursday,Weekday,A
6073,2025-01-17 13:12:00,19.5,27.79,0.0,449.5,0.003891944,0,13,Friday,Weekday,B
1649,2025-01-14 11:28:00,20.89,20.0,0.0,464.0,?,0,11,Tuesday,Weekday,B
6495,2025-01-17 20:14:00,19.42666667,26.66666667,0.0,460.0,"0,0037",0,20,Friday,Weekday,B
6977,2025-01-18 04:16:00,21.39,33.545,475.25,,0.005291109,1,4,Saturday,Weekend,A
3059,2025-01-15 10:58:00,20.29,,0.0,454.0,0.002819058,0,10,Wednesday,Weekday,C
1408,2025-01-14 07:27:00,22.245,25.15,433.0,986.0,0.00417218,1,7,Tuesday,Weekday,B
6037,2025-01-17 12:36:00,19.5,27.7,0.0,452.0,0.003879261,0,12,Friday,Weekday,C
3532,2025-01-15 18:51:00,19.79,19.35666667,0.0,441.6666667,0.00275513,0,18,Wednesday,Weekday,C
4854,2025-01-16 16:53:00,19.39,31.0,0.0,437.0,0.004314804,0,16,Thursday,Weekday,A
4885,2025-01-16 17:24:00,19.39,31.2,0.0,437.0,0.004342836,0,17,Thursday,Weekday,B
1835,2025-01-14 14:34:00,20.1,21.2,0.0,444.3333333,0.003077618,0,14,Tuesday,Weekday,B
3114,2025-01-15 11:53:00,20.2,18.89,0.0,440.5,0.002757882,0,11,Wednesday,Weekday,B
2509,2025-01-15 01:48:00,21.7,20.39,464.0,803.0,0.003267184,1,1,Wednesday,Weekday,A
2983,2025-01-15 09:42:00,20.5,,0.0,503.0,0.002869474,0,9,Wednesday,Weekday,A
3270,2025-01-15 14:29:00,,18.7,0.0,451.0,0.002696288,0,14,Wednesday,Weekday,C
2729,2025-01-15 05:28:00,22.1,21.77,499.0,924.0,0.0035763,1,5,Wednesday,Weekday,B
6015,2025-01-17 12:14:00,19.5,0.276,-5.0,445.6666667,0.00386517,0,12,Friday,Weekday,B
2977,2025-01-15 09:36:00,20.63333333,,0.0,519.3333333,0.002908347,0,9,Wednesday,Weekday,C
3416,2025-01-15 16:55:00,19.89,19.0,0.0,441.5,0.00272104,0,16,Wednesday,Weekday,A
6332,2025-01-17 17:31:00,19.29,26.79,0.0,469.0,0.003702057,0,17,Friday,Weekday,B
4592,2025-01-16 12:31:00,19.79,0.2779,0.0,438.0,0.003963136,0,12,Thursday,Weekday,C
4117,2025-01-16 04:36:00,22.39,17.39,116.0,442.75,0.002904533,0,4,Thursday,Weekday,C
3507,2025-01-15 18:26:00,19.84,0.1929,0.0,444.0,0.002754166,0,18,Wednesday,Weekday,C
2158,2025-01-14 19:57:00,20.29,18.79,0.0,436.0,0.002758593,0,19,Tuesday,Weekday,B
4666,2025-01-16 13:45:00,19.7,29.0,0.0,438.0,0.004113646,0,13,Thursday,Weekday,C
488,2025-01-13 16:07:00,21.05,25.05,0.0,437.5,0.003860772,0,16,Monday,Weekday,C
441,2025-01-13 15:20:00,21.1,25.34,0.0,443.5,0.00391784,0,15,Monday,Weekday,A
7770,2025-01-18 17:29:00,80.0,32.9,0.0,453.0,0.004819147,0,17,Saturday,Weekend,A
4421,2025-01-16 09:40:00,20.1,24.2,0.0,435.0,0.003515591,0,9,Thursday,Weekday,C
595,2025-01-13 17:54:00,21.0,24.5,0.0,444.5,0.003763837,0,17,Monday,Weekday,B
4738,2025-01-16 14:57:00,19.6,29.89,0.0,446.0,0.004214317,0,14,Thursday,Weekday,B
7348,2025-01-18 10:27:00,20.5,34.86333333,0.0,"921,3333",0.005205465,0,10,Saturday,Weekend,C
7786,2025-01-18 17:45:00,20.29,32.9,0.0,452.0,0.004846247,0,17,Saturday,Weekend,B
1717,2025-01-14 12:36:00,20.575,20.9175,0.0,459.5,0.003127291,0,12,Tuesday,Weekday,A
3708,2025-01-15 21:47:00,19.65,19.34,0.0,444.5,0.002728822,0,21,Wednesday,Weekday,B
6277,2025-01-17 16:36:00,19.39,26.79,0.0,471.0,0.003725317,0,16,Friday,Weekday,C
7609,2025-01-18 14:48:00,20.29,33.0,0.0,485.0,0.004861092,0,14,Saturday,Weekend,A
5185,2025-01-16 22:24:00,19.26,31.16666667,14.0,436.6666667,0.004302947,0,22,Thursday,Weekday,A 
1923,2025-01-14 16:02:00,20.5,19.89,0.0,439.5,0.002959152,0,16,Tuesday,Weekday,C
762,2025-01-13 20:41:00,20.89,23.1,0.0,452.0,NA,0,20,Monday,Weekday,Room A
5760,2025-01-17 07:59:00,NA,27.2,0.0,4280.0,0.003782676,0,7,Friday,Weekday,B
5079,2025-01-16 20:38:00,19.2,31.55,0.0,434.5,0.004339871,0,20,Thursday,Weekday,C
691,2025-01-13 19:30:00,20.945,0.235,0.0,448.5,"0,0036",0,19,Monday,Weekday,B
2021,2025-01-14 17:40:00,20.5,18.89,0.0,429.5,NA,0,17,Tuesday,Weekday,B
3443,2025-01-15 17:22:00,19.79,19.1,0.0,435.0,0.002718438,0,17,Wednesday,Weekday,B
8015,2025-01-18 21:34:00,20.29,33.0,0.0,447.5,0.004861092,0,21,Saturday,Weekend,A
6339,2025-01-17 17:38:00,19.39,26.79,0.0,467.0,0.003725317,0,17,Friday,Weekday,A
5496,2025-01-17 03:35:00,-30.0,0.27815,82.0,423.5,0.004197851,0,3,Friday,Weekday,B
2416,2025-01-15 00:15:00,21.29,21.29,457.0,835.0,0.003327133,1,0,Wednesday,Weekday,A
5632,2025-01-17 05:51:00,"20,0000",26.39,37.0,421.5,0.003811877,0,5,Friday,Weekday,A
3630,2025-01-15 20:29:00,19.7,19.39,0.0,"449,6667","0,0027",0,20,Wednesday,Weekday,C
6024,2025-01-17 12:23:00,19.5,27.6,0.0,451.0,0.00386517,0,12,Friday,Weekday,A
4237,2025-01-16 06:36:00,20.9175,19.84,6.0,433.5,0.003028956,0,6,Thursday,Weekday,B
6610,2025-01-17 22:09:00,19.5,26.5,,467.0,0.003710204,0,22,Friday,Weekday,A
5563,2025-01-17 04:42:00,20.5,26.26,63.33333333,425.6666667,0.003912816,0,4,Friday,Weekday,A
6584,2025-01-17 21:43:00,19.39,26.1,,465.5,0.003628808,0,21,Friday,Weekday,A
5352,2025-01-17 01:11:00,19.23,30.53333333,31.0,432.6666667,0.00420699,0,1,Friday,Weekday,B
7850,2025-01-18 18:49:00,20.2,32.9,0.0,445.0,0.004819147,0,18,Saturday,Weekend,room c
955,2025-01-13 23:54:00,22.1,26.175,450.25,1032.0,0.004304946,1,23,Monday,Weekday,B
2879,2025-01-15 07:58:00,21.675,21.175,433.0,813.75,0.003388442,1,7,Wednesday,Weekday,A
2501,2025-01-15 01:40:00,21.7225,20.525,502.75,815.75,0.003293481,1,1,Wednesday,Weekday,C
7628,2025-01-18 15:07:00,20.29,33.0,0.0,477.0,0.004861092,0,15,Saturday,Weekend,B
4021,2025-01-16 03:00:00,23.1,17.05,285.0,448.75,0.002973379,0,3,Thursday,Weekday,room c
6288,2025-01-17 16:47:00,19.39,26.7,0.0,471.5,0.003712727,0,16,Friday,Weekday,C
1069,2025-01-14 01:48:00,22.2,27.0,454.0,1131.25,0.00446894,1,1,Tuesday,Weekday,B
606,2025-01-13 18:05:00,21.0,24.39,0.0,"445,5000",0.003746836,0,18,Monday,Weekday,B
7596,2025-01-18 14:35:00,20.315,33.0,0.0,487.0,0.004868667,0,14,Saturday,Weekend,B
1193,2025-01-14 03:52:00,22.29,0.261,509.0,NA,0.004342837,0,3,Tuesday,Weekday,B
8072,2025-01-18 22:31:00,,33.2,0.0,449.6666667,0.004890785,0,22,Saturday,Weekend,B
1490,2025-01-14 08:49:00,21.34,22.55,0.0,672.0,0.003536044,0,8,Tuesday,Weekday,B
7892,2025-01-18 19:31:00,20.2,0.33,0.0,449.0,0.004833908,0,19,Saturday,Weekend,A
5150,2025-01-16 21:49:00,19.16666667,0.312,0.0,429.6666667,0.004282425,0,21,Thursday,Weekday,A
6248,2025-01-17 16:07:00,19.39,27.1,0.0,466.0,0.003768685,0,16,Friday,Weekday,C
6421,2025-01-17 19:00:00,19.29,26.89,0.0,465.5,0.003715958,0,19,Friday,Weekday,A
3233,2025-01-15 13:52:00,,18.7,0.0,439.5,0.002696288,0,13,Wednesday,Weekday,C
910,2025-01-13 23:09:00,21.5,24.39,454.0,786.0,0.003864276,1,23,Monday,Weekday,A
4052,2025-01-16 03:31:00,23.05,16.865,243.0,451.75,0.00293204,0,3,Thursday,Weekday,C
4260,2025-01-16 06:59:00,20.7,0.2039,14.0,440.75,0.003071733,0,6,Thursday,Weekday,B
6823,2025-01-18 01:42:00,21.29,NA,464.0,1427.333333,0.005208704,1,1,Saturday,Weekend,A
5195,2025-01-16 22:34:00,19.23,31.13333333,14.0,428.0,0.004290231,0,22,Thursday,Weekday,C
866,2025-01-13 22:25:00,21.15,23.7225,419.0,615.75,0.003677624,1,22,Monday,Weekday,A
7289,2025-01-18 09:28:00,20.89,35.95,0.0,1204.0,0.005500849,0,9,Saturday,Weekend,A
3819,2025-01-15 23:38:00,20.39,19.075,168.0,455.0,NA,0,23,Wednesday,Weekday,A
7501,2025-01-18 13:00:00,20.5,33.09,0.0,557.0,0.004938586,0,13,Saturday,Weekend,A 
5740,2025-01-17 07:39:00,19.39,27.175,14.0,426.0,0.003779178,0,7,Friday,Weekday,C
1472,2025/01/14 08:31:00,21.6,23.6,-5.0,,0.00376145,0,8,Tuesday,Weekday,A
1200,2025-01-14 03:59:00,22.29,26.1,454.75,843.0,0.004342837,0,3,Tuesday,Weekday,C
3985,2025-01-16 02:24:00,22.945,17.55,312.25,459.0,0.003032285,0,2,Thursday,Weekday,A
2958,2025-01-15 09:17:00,20.84,,0.0,551.0,0.002985471,0,9,Wednesday,Weekday,B
602,2025-01-13 18:01:00,21.0,24.5,0.0,442.5,0.003763837,0,18,Monday,Weekday,A
7904,2025-01-18 19:43:00,20.1,33.045,0.0,449.0,0.004810463,0,19,Saturday,Weekend,C
4214,2025-01-16 06:13:00,21.2,19.2,36.5,437.5,0.002982347,0,6,Thursday,Weekday,B
5785,2025-01-17 08:24:00,19.29,27.445,0.0,425.0,0.003793122,0,8,Friday,Weekday,B
3540,2025-01-15 18:59:00,19.7,19.39,0.0,437.0,0.002744454,0,18,Wednesday,Weekday,C
7360,2025-01-18 10:39:00,20.5,34.59,0.0,872.5,0.005164315,0,10,Saturday,Weekend,A
4106,2025-01-16 04:25:00,22.5,17.34,151.75,443.75,0.002915665,0,4,Thursday,Weekday,A
2810,2025-01-15 06:49:00,21.73,21.56666667,460.0,907.0,0.003463155,1,6,Wednesday,Weekday,A
6694,2025-01-17 23:33:00,20.215,30.2275,,774.9166667,0.004429034,1,23,Friday,Weekday,A
3471,2025-01-15 17:50:00,19.79,19.2,0.0,443.0,0.002732733,0,17,Wednesday,week end,A
6092,2025-01-17 13:31:00,19.5,27.6,0.0,452.3333333,0.00386517,0,13,Friday,Weekday,C
594,2025-01-13 17:53:00,21.0,24.5,0.0,445.0,NA,0,17,Monday,Weekday,A
5538,2025-01-17 04:17:00,20.625,26.39,145.0,418.6666667,0.003962936,0,4,Friday,Weekday,B
7725,2025-01-18 16:44:00,20.29,32.9,0.0,457.0,0.004846247,0,16,Saturday,Weekend,A
1553,2025-01-14 09:52:00,21.1,19.79,0.0,517.0,0.003055534,0,9,Tuesday,WeekDay,A
3763,2025-01-15 22:42:00,19.68,19.478,24.0,458.0,0.002753528,0,22,Wednesday,Weekday,A
7881,2025-01-18 19:20:00,20.15,33.0,0.0,446.5,0.004818864,0,19,Saturday,weekday,C
3906,2025-01-16 01:05:00,22.1,0.18,351.0,463.0,0.002954036,0,1,Thursday,Weekday,C
7836,2025-01-18 18:35:00,20.1,33.0,0.0,446.0,0.004803862,0,18,Saturday,Weekend,A
3104,2025-01-15 11:43:00,20.2,19.0,0.0,438.5,0.002774013,0,11,Wednesday,Weekday,C
6031,2025-01-17 12:30:00,19.5,27.7,0.0,450.5,0.003879261,0,12,Friday,Weekend ,B
6692,2025-01-17 23:31:00,20.175,30.15,,765.75,0.004406604,1,23,Friday,Weekday,A
7053,2025-01-18 05:32:00,21.9175,37.24,444.0,1735.0,0.006074094,1,5,Saturday,Weekend,A
7310,2025-01-18 09:49:00,"20,7000",35.4,0.0,1082.0,0.005352433,0,9,Saturday,Weekend,A
2062,2025-01-14 18:21:00,20.39,18.76,0.0,428.6666667,0.002771313,0,18,Tuesday,Weekday,B
3165,2025-01-15 12:44:00,20.0,18.89,0.0,438.0,0.002723803,0,12,Wednesday,Weekday,B
421,2025-01-13 15:00:00,21.05,25.445,0.0,449.0,0.003922035,0,15,Monday,WEEKEND,B
7933,2025-01-18 20:12:00,20.15,33.09,0.0,446.5,0.004832109,0,20,Saturday,Weekend,A
4782,2025-01-16 15:41:00,19.53333333,30.1,0.0,439.6666667,0.004226459,0,15,Thursday,Weekday,C
6761,2025-01-18 00:40:00,20.89,32.26,439.0,1204.333333,0.004931751,1,0,Saturday,Weekend,A
3049,2025-01-15 10:48:00,20.29,,0.0,452.0,0.002819058,0,10,Wednesday,Weekday,C
7207,2025-01-18 08:06:00,22.1,37.95,426.0,1831.0,0.006261049,1,8,Saturday,Weekend,B
4824,2025-01-16 16:23:00,19.39,30.7,0.0,438.0,0.004272761,0,16,Thursday,Weekday,A
3268,2025-01-15 14:27:00,,18.7,0.0,436.0,0.002696288,0,14,Wednesday,Weekday,B
751,2025-01-13 20:30:00,20.89,23.1,0.0,452.5,0.003523482,0,20,Monday,Weekday,A
3171,2025-01-15 12:50:00,20.0,NA,0.0,NA,0.002716562,0,12,Wednesday,Weekday,A
4743,2025-01-16 15:02:00,19.6,0.3,0.0,437.0,0.004229932,0,15,Thursday,Weekday,C
340,2025-01-13 13:39:00,21.2,25.39,0.0,466.0,0.003949949,0,13,Monday,Weekday,B
8057,2025-01-18 22:16:00,"20,3400",33.09,0.0,453.0,0.004889656,0,22,Saturday,Weekend,B
6134,2025-01-17 14:13:00,19.5,27.0,0.0,458.0,0.003780633,0,14,Friday,Weekday,A
2793,2025-01-15 06:32:00,21.89,21.5225,454.0,880.5,0.003490158,1,6,Wednesday,Weekday,B
5393,2025-01-17 01:52:00,19.1,31.03333333,31.0,432.0,-999.0,0,1,Friday,Weekday,C
3133,2025-01-15 12:12:00,20.05,18.89,0.0,443.5,0.002732288,0,12,Wednesday,Weekday,A
2961,2025-01-15 09:20:00,NA,,0.0,537.0,0.002953425,0,9,Wednesday,Weekday,A
3523,2025-01-15 18:42:00,19.79,19.29,0.0,"443,0000",0.002745599,0,18,Wednesday,Weekday,B
4490,2025-01-16 10:49:00,20.0,25.89,0.0,443.0,0.003739221,0,10,Thursday,Weekday,B
5956,2025-01-17 11:15:00,19.39,27.39,0.0,450.0,0.003809261,0,11,Friday,Weekday,A
2090,2025-01-14 18:49:00,,18.7,0.0,436.0,0.00277185,0,18,Tuesday,Weekday,B 
7573,2025-01-18 14:12:00,20.39,0.3296666667,0.0,500.3333333,0.004886475,0,14,Saturday,Weekend ,C
3710,2025-01-15 21:49:00,19.7,19.39,-999.0,448.0,0.002744454,0,21,Wednesday,Weekday,room_b
2740,2025-01-15 05:39:00,22.1,21.15,-999.0,880.5,0.003473879,1,5,Wednesday,Weekday,C
4585,2025-01-16 12:24:00,19.7,0.27945,0.0,438.0,0.003963041,0,12,Thursday,Weekday,B
524,2025-01-13 16:43:00,21.0,24.89,0.0,439.0,0.003824119,0,16,Monday,Weekday,C
6801,2025-01-18 01:20:00,21.125,33.0425,474.5,1357.0,0.00512646,1,1,Saturday,Weekend,A
5723,2025-01-17 07:22:00,19.39,27.15,17.0,423.5,0.003775681,0,7,Friday,Weekday,C
2348,2025-01-14 23:07:00,20.89,19.79,433.0,655.0,0.003016154,1,23,Tuesday,Weekday,B
7920,2025-01-18 19:59:00,20.13333333,33.06,0.0,443.5,0.004822679,0,19,Saturday,Weekend,C
1422,2025-01-14 07:41:00,22.2,0.247,-999.0,925.5,0.004085752,1,7,Tuesday,Weekday,C
5008,2025-01-16 19:27:00,19.29,31.7,0.0,"435,0000",0.004385344,0,19,Thursday,Weekday,B
272,2025-01-13 12:31:00,21.29,25.7,0.0,477.5,0.004020769,0,12,Monday,Weekday,Room A
4279,2025-01-16 07:18:00,20.6,20.745,0.0,439.5,0.003106182,0,7,Thursday,Weekday,B
7548,2025-01-18 13:47:00,20.39,32.9,0.0,515.0,0.004876516,0,13,Saturday,Weekend,A
3321,2025-01-15 15:20:00,19.945,18.7,0.0,434.0,0.002687076,0,15,Wednesday,Weekday,B
6185,??,19.39,0.2682333333,0.0,461.3333333,0.00372998,0,15,Friday,Weekday,C
5536,2025-01-17 04:15:00,20.675,26.4725,113.0,415.75,0.003987752,0,4,Friday,Weekday,C
7550,2025-01-18 13:49:00,20.39,32.95,0.0,511.0,0.004883985,0,13,Saturday,Weekend,B
6757,2025-01-18 00:36:00,20.82333333,32.06,439.0,1184.333333,0.004880713,1,0,Saturday,Weekend,A
4525,2025-01-16 11:24:00,19.89,26.55,0.0,442.0,0.003808917,0,11,Thursday,Weekday,c 
2918,2025-01-15 08:37:00,21.2,,0.0,686.5,0.003152515,0,8,Wednesday,Weekday,A
4210,2025-01-16 06:09:00,21.29,19.1,42.33333333,437.6666667,0.002983245,0,6,Thursday,Weekday,B
2111,2025-01-14 19:10:00,20.39,18.7,0.0,430.0,0.002762411,0,19,Tuesday,weekday,B
6379,2025-01-17 18:18:00,19.39,26.7,0.0,467.0,0.003712727,0,18,Friday,Weekday,A
3805,2025-01-15 23:24:00,20.0,19.29,119.5,450.75,0.002781738,0,23,Wednesday,Weekday,B
6361,2025-01-17 18:00:00,19.39,26.65,0.0,466.0,0.003705733,0,18,Friday,Weekday,A
6836,2025-01-18 01:55:00,21.39,33.29666667,469.0,1441.0,0.005251608,1,1,Saturday,Weekend,C
5674,2025-01-17 06:33:00,19.66666667,26.85666667,31.0,415.6666667,0.003799832,0,6,Friday,Weekday,A
4212,2025-01-16 06:11:00,21.26,19.16666667,40.75,437.75,0.002988178,0,6,Thursday,Weekday,B
6007,2025-01-17 12:06:00,19.5,27.6,0.0,447.5,0.00386517,0,12,Friday,Weekday,A
4426,2025-01-16 09:45:00,20.06666667,24.29,0.0,441.0,0.003521425,0,9,Thursday,Weekday,A
7025,2025-01-18 05:04:00,21.865,36.24,454.0,,0.005890348,1,5,Saturday,Weekend,C
5611,2025-01-17 05:30:00,20.15,26.2675,52.25,423.75,0.00382969,0,5,Friday,Weekday,A
2585,2025-01-15 03:04:00,21.7,20.075,60.25,755.0,0.003216449,0,3,Wednesday,Weekday,C
7334,2025-01-18 10:13:00,20.6,35.09,0.0,985.5,0.005272288,0,10,Saturday,Weekend,C
1244,2025-01-14 04:43:00,22.2,27.745,438.0,942.0,0.00459316,1,4,Tuesday,Weekday,A
434,2025-01-13 15:13:00,NA,25.39,0.0,448.0,0.003925619,0,15,Monday,Weekday,A
1706,2025-01-14 12:25:00,20.6,20.79,0.0,454.5,-999.0,0,12,Tuesday,Weekday,B
2883,2025-01-15 08:02:00,21.675,-10.0,433.0,798.75,0.003388442,1,8,Wednesday,Weekday,A
1802,2025-01-14 14:01:00,20.29,21.29,0.0,435.3333333,0.003127468,0,14,Tuesday,Weekday,B
4730,2025-01-16 14:49:00,19.6,29.89,0.0,435.5,0.004214317,0,14,Thursday,Weekday,C
4779,2025-01-16 15:38:00,19.5,30.15,0.0,445.5,0.004224703,0,15,Thursday,Weekday,C
7686,2025-01-18 16:05:00,20.29,32.9,0.0,456.0,0.004846247,0,16,Saturday,Weekend,Room A
6096,2025-01-17 13:35:00,19.5,27.5,0.0,452.5,0.003851079,0,13,Friday,Weekday,A
1776,2025-01-14 13:35:00,20.39,21.29,0.0,451.0,0.003146948,0,13,Tuesday,Weekday,A
2742,2025-01-15 05:41:00,22.1,21.2,481.5,863.0,0.003482138,1,5,Wednesday,Weekday,C
7584,2025-01-18 14:23:00,20.29,33.0,0.0,492.0,"0,0049",0,14,Saturday,Weekend,B
4361,2025-01-16 08:40:00,20.29,22.79,0.0,433.0,0.003349002,0,8,Thursday,Weekday,C
501,2025-01-13 16:20:00,21.0,0.251,0.0,4400.0,0.003856584,0,16,Monday,Weekday,A
2007,2025-01-14 17:26:00,20.55,19.0,0.0,434.0,0.002834911,0,17,Tuesday,Weekday,B
1951,2025-01-14 16:30:00,20.56666667,19.5,0.0,437.0,0.002912869,0,16,Tuesday,Weekday,C
6641,2025-01-17 22:40:00,19.5,26.79,,471.5,?,0,22,Friday,Weekday,B
6374,2025-01-17 18:13:00,19.35666667,26.7,0.0,472.0,0.003704986,0,18,Friday,Weekday,C
7394,2025-01-18 11:13:00,20.5,34.0,0.0,754.0,0.005075509,0,11,Saturday,Weekend,A
3240,2025-01-15 13:59:00,,18.65,?,442.0,0.002689047,0,13,Wednesday,Weekday,B
2365,2025-01-14 23:24:00,NA,20.7675,438.0,733.25,0.003182078,1,23,Tuesday,Weekday,C
8074,2025-01-18 22:33:00,20.29,33.2,0.0,460.0,0.004890785,0,22,Saturday,Weekend,A
2602,2025-01-15 03:21:00,21.39,19.89,81.25,688.75,0.003126457,0,3,Wednesday,Weekday,B
6620,2025-01-17 22:19:00,NA,26.625,,470.6666667,0.00372781,0,22,Friday,Weekday,A
7316,2025-01-18 09:55:00,20.7,35.29,0.0,1060.0,0.005335658,0,9,Saturday,Weekend,B
5149,2025-01-16 21:48:00,19.13333333,31.2,0.0,430.0,0.004273473,0,21,Thursday,Weekday,A
4886,2025-01-16 17:25:00,19.34,31.2,0.0,437.5,0.004329246,0,17,Thursday,Weekday,B
2835,2025-01-15 07:14:00,21.7675,21.8175,444.0,926.75,0.003511745,1,7,Wednesday,Weekday,B
7864,2025-01-18 19:03:00,20.15,33.0,0.0,448.5,0.004818864,0,19,Saturday,Weekend,A
1335,2025-01-14 06:14:00,22.4175,26.82,456.0,1063.25,0.004498504,1,6,Tuesday,Weekday,room c
1137,2025-01-14 02:56:00,22.625,26.4975,565.75,1037.5,0.004500811,1,2,Tuesday,Weekday,A
6577,2025-01-17 21:36:00,19.5,26.15,,471.0,0.003660913,0,21,Friday,Weekday,C
1194,2025-01-14 03:53:00,"22,3400",26.1,476.5,870.0,0.004356163,0,3,Tuesday,Weekday,C
7269,2025-01-18 09:08:00,21.1,36.2,0.0,1298.0,0.005612064,0,9,Saturday,Weekend,C
6681,2025-01-17 23:20:00,20.0,29.1975,,655.5,0.004220155,1,23,Friday,Weekday,B
8071,2025-01-18 22:30:00,20.29,0.3312666667,-5.0,450.0,0.004879897,0,22,Saturday,Weekend,B
2863,2025-01-15 07:42:00,21.625,21.315,433.0,849.0,0.003400496,1,7,Wednesday,Weekday,C
5337,2025-01-17 00:56:00,19.2675,30.525,26.5,430.0,0.004215739,0,0,Friday,week end,C
2229,2025-01-14 21:08:00,20.2,18.6,0.0,428.5,0.002715358,0,21,Tuesday,Weekday,C
6519,2025-01-17 20:38:00,19.39,26.29,0.0,"465,5000",0.00365538,0,20,Friday,Weekday,A
196,2025-01-13 11:15:00,21.5,26.2,0.0,497.0,0.004152962,0,11,Monday,Weekday,A
7637,2025-01-18 15:16:00,20.29,33.0,0.0,478.5,0.004861092,0,15,Saturday,Weekend,A
1578,2025-01-14 10:17:00,21.2,19.29,0.0,490.0,0.002996394,0,10,Tuesday,Weekday,C
5668,2025-01-17 06:27:00,19.7,26.79,31.0,419.3333333,0.003798244,0,6,Friday,Weekday,A
1008,2025-01-14 00:47:00,22.1,26.245,459.0,1006.0,0.004316539,1,0,Tuesday,Weekday,A
286,2025-01-13 12:45:00,21.29,25.7,0.0,476.5,0.004020769,0,12,Monday,Weekday,C
172,2025-01-13 10:51:00,-30.0,26.55,0.0,515.5,0.004234832,0,10,Monday,Weekday,C
3829,2025-01-15 23:48:00,20.65,18.945,199.0,457.5,0.002844229,0,23,Wednesday,Weekday,A
1131,2025-01-14 02:50:00,22.675,26.575,533.25,1078.5,0.00452789,0,2,Tuesday,Weekday,A
3324,2025-01-15 15:23:00,20.0,18.7,0.0,439.0,0.002696288,0,15,Wednesday,Weekday,B
5799,2025-01-17 08:38:00,19.34,27.39,0.0,427.0,0.003797351,0,8,Friday,Weekday,C
5630,2025-01-17 05:49:00,20.0,26.34,37.0,420.5,0.003804611,0,5,Friday,Weekday,A
